,Mutation Category,Prediction Method,N,R,MAE,FC
3674,Complete dataset,flex ddG,1240,0.63,0.96,0.76
6109,Complete dataset,ddG monomer,1240,0.51,1.57,0.64
5377,Complete dataset,no backrub control,1240,0.56,1.12,0.73
4295,Complete dataset,ZEMu paper,1240,0.61,1.08,0.71
3120,Small-to-large mutation(s),flex ddG,130,0.65,0.78,0.71
7816,Small-to-large mutation(s),ddG monomer,130,0.31,1.55,0.55
7449,Small-to-large mutation(s),no backrub control,130,0.41,1.11,0.62
6817,Small-to-large mutation(s),ZEMu paper,130,0.48,1.16,0.65
4198,Mutation(s) to alanine,flex ddG,939,0.62,0.96,0.78
6272,Mutation(s) to alanine,ddG monomer,939,0.50,1.55,0.66
4991,Mutation(s) to alanine,no backrub control,939,0.58,1.06,0.75
4097,Mutation(s) to alanine,ZEMu paper,939,0.62,1.03,0.73
6142,Single mutation to alanine,flex ddG,748,0.51,0.75,0.76
7628,Single mutation to alanine,ddG monomer,748,0.36,1.31,0.62
7199,Single mutation to alanine,no backrub control,748,0.44,0.90,0.74
7049,Single mutation to alanine,ZEMu paper,748,0.45,0.86,0.71
4125,Multiple mutations,flex ddG,273,0.62,1.62,0.78
6311,Multiple mutations,ddG monomer,273,0.50,2.44,0.70
5031,Multiple mutations,no backrub control,273,0.58,1.73,0.73
3312,Multiple mutations,ZEMu paper,273,0.64,1.63,0.75
6871,"Multiple mutations, all to alanine",flex ddG,191,0.47,1.77,0.84
7696,"Multiple mutations, all to alanine",ddG monomer,191,0.34,2.49,0.80
6331,"Multiple mutations, all to alanine",no backrub control,191,0.50,1.69,0.81
5582,"Multiple mutations, all to alanine",ZEMu paper,191,0.55,1.72,0.79
3771,"Multiple mutations, none to alanine",flex ddG,45,0.63,1.38,0.60
7504,"Multiple mutations, none to alanine",ddG monomer,45,0.40,2.54,0.38
7189,"Multiple mutations, none to alanine",no backrub control,45,0.44,1.66,0.58
5910,"Multiple mutations, none to alanine",ZEMu paper,45,0.53,1.59,0.60
4429,Antibodies,flex ddG,355,0.61,0.93,0.74
6313,Antibodies,ddG monomer,355,0.50,1.35,0.69
6510,Antibodies,no backrub control,355,0.49,1.06,0.72
5697,Antibodies,ZEMu paper,355,0.54,1.06,0.67
