,Mutation Category,Prediction Method,N,R,MAE,FC
3661,Complete dataset,flex ddG,1240,0.63,0.98,0.76
3564,Complete dataset,flex ddG (1.6 kT),1240,0.64,0.93,0.75
4142,Small-to-large mutation(s),flex ddG,130,0.62,0.84,0.72
3486,Small-to-large mutation(s),flex ddG (1.6 kT),130,0.64,0.81,0.72
6263,Single mutation to alanine,flex ddG,748,0.50,0.76,0.75
6065,Single mutation to alanine,flex ddG (1.6 kT),748,0.51,0.72,0.75
3826,Multiple mutations,flex ddG,273,0.63,1.63,0.79
3919,Multiple mutations,flex ddG (1.6 kT),273,0.63,1.52,0.75
3103,"Multiple mutations, none to alanine",flex ddG,45,0.65,1.40,0.67
4233,"Multiple mutations, none to alanine",flex ddG (1.6 kT),45,0.62,1.38,0.58
